Program,path_to_mutant,best_exam_score,worst_exam_score,avg_exam_score
AddGate_rzz_inGap_10_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.045454545454545456,0.045454545454545456,0.045454545454545456
AddGate_z_inGap_6_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.36363636363636365,0.36363636363636365,0.36363636363636365
AddGate_z_inGap_9_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.13636363636363635,0.13636363636363635,0.13636363636363635
AddGate_swap_inGap_10_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.13636363636363635,0.13636363636363635,0.13636363636363635
AddGate_y_inGap_14_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.045454545454545456,0.045454545454545456,0.045454545454545456
AddGate_x_inGap_1_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.18181818181818182,0.18181818181818182,0.18181818181818182
AddGate_y_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.22727272727272727,0.22727272727272727,0.22727272727272727
AddGate_x_inGap_2_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.45454545454545453,0.45454545454545453,0.45454545454545453
AddGate_z_inGap_7_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.8181818181818182,0.8181818181818182,0.8181818181818182
AddGate_p_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.22727272727272727,0.2727272727272727,0.25
AddGate_swap_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.3181818181818182,0.3181818181818182,0.3181818181818182
AddGate_rxx_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.045454545454545456,0.045454545454545456,0.045454545454545456
AddGate_z_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.18181818181818182,0.18181818181818182,0.18181818181818182
AddGate_y_inGap_15_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.18181818181818182,0.22727272727272727,0.20454545454545456
AddGate_y_inGap_2_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.2727272727272727,0.2727272727272727,0.2727272727272727
AddGate_ccx_inGap_6_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,1.0,1.0,1.0
AddGate_ry_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.045454545454545456,0.09090909090909091,0.06818181818181818
AddGate_p_inGap_10_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.45454545454545453,0.45454545454545453,0.45454545454545453
AddGate_z_inGap_8_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.36363636363636365,0.36363636363636365,0.36363636363636365
AddGate_x_inGap_3_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.5454545454545454,0.5454545454545454,0.5454545454545454
AddGate_x_inGap_14_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.045454545454545456,0.045454545454545456,0.045454545454545456
AddGate_cz_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.09090909090909091,0.09090909090909091,0.09090909090909091
AddGate_cx_inGap_6_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.13636363636363635,0.13636363636363635,0.13636363636363635
AddGate_x_inGap_15_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.18181818181818182,0.18181818181818182,0.18181818181818182
AddGate_x_inGap_12_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.045454545454545456,0.045454545454545456,0.045454545454545456
AddGate_s_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.4090909090909091,0.45454545454545453,0.4318181818181818
AddGate_z_inGap_10_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.8636363636363636,0.8636363636363636,0.8636363636363636
AddGate_y_inGap_13_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.045454545454545456,0.045454545454545456,0.045454545454545456
AddGate_cswap_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.8636363636363636,0.8636363636363636,0.8636363636363636
AddGate_y_inGap_16_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.045454545454545456,0.045454545454545456,0.045454545454545456
AddGate_ry_inGap_6_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.6363636363636364,0.6363636363636364,0.6363636363636364
AddGate_y_inGap_6_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.09090909090909091,0.09090909090909091,0.09090909090909091
AddGate_cz_inGap_10_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.3181818181818182,0.3181818181818182,0.3181818181818182
AddGate_y_inGap_3_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.3181818181818182,0.3181818181818182,0.3181818181818182
AddGate_y_inGap_12_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.045454545454545456,0.045454545454545456,0.045454545454545456
AddGate_cswap_inGap_6_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.8636363636363636,0.8636363636363636,0.8636363636363636
AddGate_rzz_inGap_6_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.5909090909090909,0.5909090909090909,0.5909090909090909
AddGate_rz_inGap_10_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.045454545454545456,0.045454545454545456,0.045454545454545456
AddGate_rz_inGap_6_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.13636363636363635,0.13636363636363635,0.13636363636363635
AddGate_y_inGap_5_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.22727272727272727,0.2727272727272727,0.25
AddGate_x_inGap_13_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.045454545454545456,0.045454545454545456,0.045454545454545456
AddGate_y_inGap_1_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.5,0.5,0.5
AddGate_y_inGap_4_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.8636363636363636,0.8636363636363636,0.8636363636363636
AddGate_rzz_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeexact_5_qubits/,0.13636363636363635,0.13636363636363635,0.13636363636363635
