Program,path_to_mutant,best_exam_score,worst_exam_score,avg_exam_score
AddGate_ry_inGap_10_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.13636363636363635,0.13636363636363635,0.13636363636363635
AddGate_ry_inGap_16_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.18181818181818182,0.18181818181818182,0.18181818181818182
AddGate_rxx_inGap_16_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.045454545454545456,0.045454545454545456,0.045454545454545456
AddGate_rzz_inGap_10_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.5909090909090909,0.5909090909090909,0.5909090909090909
AddGate_h_inGap_9_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.09090909090909091,0.09090909090909091,0.09090909090909091
AddGate_z_inGap_9_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.4090909090909091,0.4090909090909091,0.4090909090909091
AddGate_cx_inGap_8_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.5,0.5,0.5
AddGate_ry_inGap_9_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.09090909090909091,0.09090909090909091,0.09090909090909091
AddGate_ry_inGap_14_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.045454545454545456,0.045454545454545456,0.045454545454545456
AddGate_rxx_inGap_13_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.6818181818181818,0.6818181818181818,0.6818181818181818
AddGate_swap_inGap_10_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.36363636363636365,0.36363636363636365,0.36363636363636365
AddGate_x_inGap_1_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.18181818181818182,0.18181818181818182,0.18181818181818182
AddGate_y_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.22727272727272727,0.2727272727272727,0.25
AddGate_x_inGap_2_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.7272727272727273,0.7272727272727273,0.7272727272727273
AddGate_cx_inGap_7_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.045454545454545456,0.045454545454545456,0.045454545454545456
AddGate_p_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.22727272727272727,0.2727272727272727,0.25
AddGate_rzz_inGap_8_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.09090909090909091,0.09090909090909091,0.09090909090909091
AddGate_ry_inGap_12_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.045454545454545456,0.045454545454545456,0.045454545454545456
AddGate_swap_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.09090909090909091,0.09090909090909091,0.09090909090909091
AddGate_rxx_inGap_15_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.045454545454545456,0.045454545454545456,0.045454545454545456
AddGate_rxx_inGap_1_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.13636363636363635,0.13636363636363635,0.13636363636363635
AddGate_rx_inGap_15_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.22727272727272727,0.2727272727272727,0.25
AddGate_rxx_inGap_10_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.22727272727272727,0.22727272727272727,0.22727272727272727
AddGate_ry_inGap_2_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.18181818181818182,0.18181818181818182,0.18181818181818182
AddGate_rxx_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.045454545454545456,0.045454545454545456,0.045454545454545456
AddGate_z_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.22727272727272727,0.2727272727272727,0.25
AddGate_rxx_inGap_2_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.09090909090909091,0.09090909090909091,0.09090909090909091
AddGate_rx_inGap_14_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.13636363636363635,0.13636363636363635,0.13636363636363635
AddGate_cz_inGap_9_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.2727272727272727,0.2727272727272727,0.2727272727272727
AddGate_rx_inGap_16_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.045454545454545456,0.045454545454545456,0.045454545454545456
AddGate_y_inGap_2_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.22727272727272727,0.22727272727272727,0.22727272727272727
AddGate_ccx_inGap_6_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.7272727272727273,0.7272727272727273,0.7272727272727273
AddGate_rxx_inGap_5_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.09090909090909091,0.09090909090909091,0.09090909090909091
AddGate_ry_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.09090909090909091,0.13636363636363635,0.11363636363636363
AddGate_rxx_inGap_6_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.22727272727272727,0.22727272727272727,0.22727272727272727
AddGate_p_inGap_10_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.13636363636363635,0.13636363636363635,0.13636363636363635
AddGate_cz_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.22727272727272727,0.22727272727272727,0.22727272727272727
AddGate_cx_inGap_6_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.22727272727272727,0.22727272727272727,0.22727272727272727
AddGate_ry_inGap_1_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.2727272727272727,0.2727272727272727,0.2727272727272727
AddGate_ccx_inGap_7_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.18181818181818182,0.18181818181818182,0.18181818181818182
AddGate_cz_inGap_6_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.5909090909090909,0.5909090909090909,0.5909090909090909
AddGate_s_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,0.22727272727272727,0.2727272727272727,0.25
AddGate_rzz_inGap_7_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qpeinexact_5_qubits/,1.0,1.0,1.0
